k,inertia,silhouette,davies_bouldin,minimum_cluster_share,eligible,selected
2,19921.22071588286,0.399842090344,1.288099775773,0.236644591611,True,True
3,16790.233704940572,0.26132646762,1.412358892064,0.126269315673,True,False
4,14667.54118764927,0.271867884494,1.328757593067,0.064017660044,True,False
5,13543.71303727946,0.211622849534,1.406051136886,0.034878587196,False,False
6,12696.001923717215,0.217781298053,1.503357458747,0.04944812362,False,False
7,11886.240226166137,0.181347865155,1.495039476562,0.024282560706,False,False
8,11154.838321901596,0.158501397307,1.517567565795,0.021633554084,False,False
