Date,adjusted_close,forward_return_1d,cluster_id,regime_name,split
2010-12-31,95.68984985351562,0.010338248449641485,0,Bullish / Low Volatility,train
2011-01-03,96.67911529541016,-0.0005511396255896139,0,Bullish / Low Volatility,train
2011-01-04,96.6258316040039,0.005197813396840889,0,Bullish / Low Volatility,train
2011-01-05,97.1280746459961,-0.001958797310861904,0,Bullish / Low Volatility,train
2011-01-06,96.93782043457033,-0.001962326912188672,0,Bullish / Low Volatility,train
2011-01-07,96.74759674072266,-0.0012585856478178892,0,Bullish / Low Volatility,train
2011-01-10,96.6258316040039,0.003543877543527474,0,Bullish / Low Volatility,train
2011-01-11,96.96826171875,0.009024672568243242,0,Bullish / Low Volatility,train
2011-01-12,97.84336853027344,-0.0016332767386491032,0,Bullish / Low Volatility,train
2011-01-13,97.68356323242188,0.007244614396910931,0,Bullish / Low Volatility,train
2011-01-14,98.39124298095705,0.0017016459790093474,0,Bullish / Low Volatility,train
2011-01-18,98.55867004394533,-0.009805715651663438,0,Bullish / Low Volatility,train
2011-01-19,97.59223175048828,-0.0013252437594052369,0,Bullish / Low Volatility,train
2011-01-20,97.46289825439452,0.0022640921004768444,0,Bullish / Low Volatility,train
2011-01-21,97.68356323242188,0.005686612650524392,0,Bullish / Low Volatility,train
2011-01-24,98.23905181884766,0.0005424657487436146,0,Bullish / Low Volatility,train
2011-01-25,98.29234313964844,0.003870647549314432,0,Bullish / Low Volatility,train
2011-01-26,98.67279815673828,0.002467826896599412,0,Bullish / Low Volatility,train
2011-01-27,98.9163055419922,-0.017462880128418123,0,Bullish / Low Volatility,train
2011-01-28,97.1889419555664,0.007516436661088255,0,Bullish / Low Volatility,train
2011-01-31,97.9194564819336,0.016008961471733363,0,Bullish / Low Volatility,train
2011-02-01,99.48704528808594,-0.001912274924643298,0,Bullish / Low Volatility,train
2011-02-02,99.29679870605467,0.002222353694152135,0,Bullish / Low Volatility,train
2011-02-03,99.51747131347656,0.0028288968207030862,0,Bullish / Low Volatility,train
2011-02-04,99.79899597167967,0.00625226762717479,0,Bullish / Low Volatility,train
2011-02-07,100.42296600341795,0.004546808584509732,0,Bullish / Low Volatility,train
2011-02-08,100.87957000732422,-0.002262963087050096,0,Bullish / Low Volatility,train
2011-02-09,100.65128326416016,0.00037778854983838706,0,Bullish / Low Volatility,train
2011-02-10,100.6893081665039,0.005970578324808518,0,Bullish / Low Volatility,train
2011-02-11,101.2904815673828,0.0024040500300310796,0,Bullish / Low Volatility,train
2011-02-14,101.53398895263672,-0.0031479690475009203,0,Bullish / Low Volatility,train
2011-02-15,101.21436309814452,0.006315443208311233,0,Bullish / Low Volatility,train
2011-02-16,101.85357666015624,0.0029882805828729264,0,Bullish / Low Volatility,train
2011-02-17,102.15794372558594,0.002086027187658601,0,Bullish / Low Volatility,train
2011-02-18,102.3710479736328,-0.02007023711024103,0,Bullish / Low Volatility,train
2011-02-22,100.31643676757812,-0.006143888555775523,0,Bullish / Low Volatility,train
